VERSION_HISTORY_CODE,VERSION_DATE,VERSION_NUMBER,VERSION_REMARKS,SUPERCEDED_BY,SUPERCEDES
1,01-06-1994,1.0,Version 1.0 release.  Excel v2.,,
2,02-06-1996,2.1,Version 2.1 release.  Excel v4.,3.0,
3,12-12-1996,3.0,Version 3.0 release.  Access v2.,3.1,2.1
4,11-04-1997,3.1,Version 3.1 release.,3.2,3.0
5,28-08-1997,3.2,Version 3.2 release.,4.0,3.1
6,24-03-1998,4.0,Version 4.0 release.  Access v7.,4.1,3.2
7,29-09-1998,4.1,Version 4.1 release.,4.2,4.0
8,25-11-1998,4.2,Version 4.2 release.,4.3,4.1
9,26-07-1999,4.3,Version 4.3 release.,4.4,4.2
10,19-11-1999,4.4,Version 4.4 release.,4.5 5.0,4.3
11,29-06-2000,4.5,Version 4.5 release.,5.1,4.4
12,29-06-2000,5.0,Version 5.0 release.  Access97,5.01,4.4
13,09-07-2000,5.01,Version 5.01 release.,5.1,5.0
14,31-12-2000,5.1,Version 5.1 release.,5.2,4.5  5.01
15,11-06-2001,5.2,Version 5.2 release.,5.21,5.1
16,26-06-2001,5.21,Version 5.21 release.,6.1,5.2
17,21-02-2002,5.3,Version 5.3 release. Same data as v6.1.,6.1,5.21
18,03-09-2001,6.02,v6.02 release to EPSG wg and ISO 19127 project team.,6.1,
19,25-02-2002,6.1,Version 6.1 release. ISO 19111 compliant data model and terminology.,6.2,5.21  6.02
20,31-07-2002,6.2,Version 6.2 release.,6.2.1,5.3  6.1
21,05-09-2002,6.2.1,v6.2 data; purged redundant Visual Basic code behind forms.,6.2.2,6.2
22,16-09-2002,6.2.2,v6.2 data; purged further redundant Visual Basic code behind forms.,6.3,6.2.1
23,26-02-2003,6.3,Version 6.3 release.,6.4,6.2.2
24,15-10-2003,6.4,Version 6.4 release.,6.5,6.3
25,13-01-2004,6.5,Version 6.5 release.,6.6,6.4
26,09-04-2004,6.5.1,Version 6.5.1. VBA module for creating SQL DDL updated. No other change.,6.6,6.5
27,27-04-2004,6.5.2,Version 6.5.2. Further update to VBA module for creating SQL DDL. Data exactly as v6.5.,6.6,6.5.1
28,29-06-2004,6.5.3,Version 6.5.3. Further update to VBA module for creating SQL DDL. Data exactly as v6.5.,6.6,6.5.2
29,23-10-2004,6.6,Version 6.6 release.,6.7,6.5.3
30,31-05-2005,6.7,Version 6.7 release.,6.8,6.6
31,10-10-2005,6.8,Version 6.8 release.,6.9,6.7
32,20-02-2006,6.9,Version 6.9 release.,6.10,6.8
33,07-04-2006,6.10,Version 6.10 release.,6.10.1,6.9
34,23-05-2006,6.10.1,Version 6.10.1 release. SQL script modified to amend date format. Same data as v6.10.,6.10.2,6.10
35,08-06-2006,6.10.2,Version 6.10.2 release. SQL script modified to remove unique constraint. Same data as v6.10.,6.11,6.10.1
36,09-08-2006,6.11,Version 6.11 release.,6.11.1,6.10.*
37,04-10-2006,6.11.1,Version 6.11.1 release.,6.11.2,6.11
38,23-10-2006,6.11.2,Version 6.11.2 release.,6.12,6.11.1
39,08-02-2007,6.12,Version 6.12 release.,6.13,6.11.2
40,16-07-2007,6.13,Version 6.13 release.,6.14,6.12
41,02-09-2007,6.14,Version 6.14 release.,6.15,6.13
42,15-04-2008,6.15,Version 6.15 release.,6.16,6.14
43,16-04-2008,6.16a1,working db,,6.15
44,27-06-2008,6.16,Version 6.16 release.,6.16.1,6.15
45,27-06-2008,6.16.1,Registry software upgrade v1.1.2.,6.16.2,6.16
46,05-07-2008,6.16.2,Registry software upgrade v1.1.3.,6.17,6.16.1
47,14-07-2008,6.17,Version 6.17 release.,6.18,6.16.2
48,05-08-2008,6.17.1,Version 6.17.1 registry interim data release and software upgrade v1.1.4.,6.17.1,6.17
49,12-11-2008,6.18,Version 6.18 release. Access and SQL only.,6.18.1,6.17.1
50,20-01-2009,6.18.1,Version 6.18.1 registry interim data release.,6.18.3,6.18
51,10-02-2009,6.18.3,Version 6.18.3 registry interim data release.,7.1,6.18.1
52,02-06-2009,7.1,"Version 7.1 marks the transition of the master dataset from the Access database to the online Registry. It also marks a change in the version of MS Access in which the database is distributed, from v97 to v2000.",7.1.1,6.18.3
53,07-06-2009,7.1.1,Registry interim release. Registry software v1.2.5 loaded. Change requests 2009.023 and 2009.039 released.,7.1.2,7.1
54,30-06-2009,7.1.2,Version 7.1.2 registry interim data release.,7.1.3,7.1.1
55,01-07-2009,7.1.3,Version 7.1.3 registry interim data release.,7.1.4,7.1.2
56,03-07-2009,7.1.4,Version 7.1.4 registry interim data release.,7.1.5,7.1.3
57,04-07-2009,7.1.5,Version 7.1.5 registry interim data release.,7.1.6,7.1.4
58,22-07-2009,7.1.6,Version 7.1.6 registry interim data release.,7.1.7,7.1.5
59,29-07-2009,7.1.7,Version 7.1.7 registry interim data release.,7.1.8,7.1.6
60,05-09-2009,7.1.8,Version 7.1.8 registry interim data release.,v7.1.9,7.1.7
61,29-10-2009,v7.1.9,Version 7.1.9 registry interim data release.,7.1.10,7.1.8
62,30-10-2009,7.1.10,Registry interim release. Registry software v1.2.6 loaded 2009-10-29. This release generates updated export files but registry data is otherwise unchanged from Dataset v7.1.9.,7.1.11,v7.1.9
63,01-11-2009,7.1.11,Registry interim release. Registry script run. This release generates updated export files but registry data is otherwise unchanged from Dataset v7.1.9.,7.1.12,7.1.10
64,12-11-2009,7.1.12,Registry interim release. Registry software v1.2.7 loaded.,7.2,7.1.11
65,24-11-2009,7.2,Version 7.2 release.,7.3,7.1.12
66,25-11-2009,7.3,Version 7.3 data release.,7.4,7.2
67,25-11-2009,7.4,Version 7.4. Re-release of version 7.2 as export files not generated.,7.4.1,7.3
68,01-02-2010,7.4.1,Version 7.4.1 interim dataset release. No geodetic data changes from v7.4. Made to resolve duplication of latest version release date - see change request 2010.009.,7.4.2,7.4
69,13-02-2010,7.4.2,"Registry interim release. Registry software v1.2.10 loaded. Change requests 2009.104, 2010.007 and 2010.015 released.",7.4.3,7.4.1
70,18-02-2010,7.4.3,"Registry interim data release. Change requests 2010.018, 2010.012, 2010.005, 2009.030, 2009.008 and 2008.098 released.",7.4.4,7.4.2
71,01-03-2010,7.4.4,"Registry interim data release. Change requests 2010.024, 2010.020, 2010.014, 2010.008, 2010.003 and 2009.024 released.",7.4.5,7.4.3
72,05-03-2010,7.4.5,"Registry interim data release. Change requests 2009.031, 2009.105 and 2010.026 released.",7.4.6,7.4.4
73,30-03-2010,7.4.6,Preliminary release for v7.5.,7.4.7,7.4.5
74,30-03-2010,7.4.7,Second preliminary release for v7.5,7.4.8,7.4.6
75,31-03-2010,7.4.8,Third preliminary release for v7.5,7.4.9,7.4.7
76,31-03-2010,7.4.9,Fourth preliminary release for v7.5,7.5,7.4.8
77,31-03-2010,7.5,Version 7.5 release of full Dataset.,7.5.0.1,7.4.9
78,31-03-2010,7.5.0.1,Missing association corrected for v7.5 release.,7.5.1,7.5
79,02-05-2010,7.5.1,Registry interim data release. Change requests 2008.112 and 2010.048 released.,7.5.2,7.5.0.1
80,20-05-2010,7.5.2,Registry interim data release. Change requests 2010.052 and 2010.055 released.,7.5.3,7.5.1
81,27-06-2010,7.5.3,"Registry interim data release. Change requests 2010.001, 2010.011, 2010.023, 2010.047 and 2010.059 released.",7.5.4,7.5.2
82,29-06-2010,7.5.4,"Registry interim data release. Change requests 2010.049, 2010.053 and 2010.061 released.",7.5.5,7.5.3
83,29-06-2010,7.5.5,Release to generate export files not made during 7.5.4 release.,7.5.6,7.5.4
84,30-06-2010,7.5.6,Registry interim data release. Change requests 2010.050 and 2010.068 released.,7.5.7,7.5.5
85,07-07-2010,7.5.7,Registry interim data release. Change request 2010.072 released.,7.5.8,7.5.6
86,13-07-2010,7.5.8,"Registry interim data release. Change requests 2010.054, 2010.064, 2010.070 and 2010.074 released.",7.5.9,7.5.7
87,24-09-2010,7.5.9,"Registry interim data release. Change requests 2010.057, 2010.077, 2010.078, 2010.080, 2010.083, 2010.084 and 2010.087 released.",7.6,7.5.8
88,02-11-2010,7.6,Version 7.6 release of full Dataset.,7.6.0.1,7.5.9
89,03-11-2010,7.6.0.1,Missing association corrected for v7.6 release.,7.6.1,7.6
90,12-11-2010,7.6.1,Registry interim data release. Change requests 2010.099 and 2010.101 released.,7.6.2,7.6.0.1
91,07-12-2010,7.6.2,Registry interim data release. Change requests 2010.100 and 2010.107 released.,7.6.3,7.6.1
92,08-12-2010,7.6.3,Registry interim data release. Change requests 2010.032 and 2010.103 released.,7.6.4,7.6.2
93,25-01-2011,7.6.4,Registry interim data release. Change requests 2011.001 and 2011.003 through 2011.006 released.,7.6.5,7.6.3
94,04-02-2011,7.6.5,Registry interim data release. Change requests 2011.009 and 2011.014 released.,7.6.6,7.6.4
95,25-02-2011,7.6.6,"Registry interim data release. Change requests 2010.095, 2011.007 and 2011.012 to 2011.016 released.",7.6.7,7.6.5
96,14-03-2011,7.6.7,Registry interim data release. Change request 2010.106 released.,7.6.8,7.6.6
97,21-03-2011,7.6.8,"Registry interim data release. Change requests 2010.097, 2011.018 and 2011.023 released.",7.6.9,7.6.7
98,28-03-2011,7.6.9,"Registry interim data release. Change requests 2009.028, 2011.021 2011.022, 2011.027 and 2011.031 released.",7.7,7.6.8
99,09-05-2011,7.7,Version 7.7 release of full Dataset.,7.7.1,7.6.9
100,20-06-2011,7.7.1,"Registry interim data release. Change requests 2011.041, 2011.043, 2011.048 and 2011.052 released.",7.8,7.7
101,30-06-2011,7.8,Version 7.8 release of full Dataset.,7.8.1,7.7.1
102,10-07-2011,7.8.1,Registry interim data release. Change request 2011.057 released.,7.8.2,7.8
103,20-07-2011,7.8.2,"Registry interim data release. Change requests 2011.059, 2011.061 and 2011.062 released.",7.8.3,7.8.1
104,27-07-2011,7.8.3,"Registry interim data release. Released change requests 2011.019, 2011.026, 2011.053, 2011.064, 2011.066, 2011.067 and 2011.068.",7.8.4,7.8.2
105,03-08-2011,7.8.4,Registry interim data release. Released change request 2011.071.,7.9,7.8.3
106,17-08-2011,7.9,Version 7.9 release of full Dataset.,7.9.1,7.8.4
107,08-10-2011,7.9.1,"Registry interim data release. Released change requests 2011.044, 2011.074, 2011.081, 2011.083, 2011.084, 2011.086 and 2011.089.",7.9.2,7.9
108,09-10-2011,7.9.2,Registry interim data release. Released change request 2011.092.,7.9.3,7.9.1
109,05-01-2012,7.9.3,"Registry interim data release. Released change requests 2011.082, 2011.087, 2011.088, 2011.090, 2011.094, 2011.095, 2011.100, 2011.103, 2011.105, 2011.108, 2011.109, 2011.110, 2011.112, 2011.113 and 2012.001.",7.9.4,7.9.2
110,21-01-2012,7.9.4,"Registry interim data release. Released change requests 2010.062, 2010.105, 2011.011, 2011.104, 2011.114, 2012.003, 2012.004, 2012.005, 2012.006, 2012.007 and 2012.010.",7.9.5,7.9.3
111,13-02-2012,7.9.5,"Registry interim data release. Released change requests 2011.042, 2011.085, 2011.097, 2011.098, 2011.099, 2011.101, 2011.102, 2012.013, 2012.014, 2012.015, 2012.016, 2012.017, 2012.018, 2012.020, 2012.022, 2012.023 and 2012.025. ",7.9.6,7.9.4
112,19-02-2012,7.9.6,"Registry interim data release. Released change requests 2012.024, 2012.027, 2012.029 and 2012.030.",7.9.7,7.9.5
113,24-03-2012,7.9.7,"Registry interim data release. Released change requests 2012.009, 2012.011, 2012.028, 2012.033 and 2012.036.",7.9.8,7.9.6
114,25-03-2012,7.9.8,"Registry interim data release. Released change requests 2012.032, 2012.034 and 2012.035.",7.11,7.9.7
115,18-04-2012,7.11,Version 7.11 release of full Dataset. (Note: 7.10 deliberately omitted from release version numbering).,7.11.1,7.9.8
116,08-05-2012,7.11.1,"Registry interim data release. Released change requests 2010.030, 2012.041, 2012.042, 2012.046, 2012.047, 2012.055, 2012.057 and 2012.058.",7.11.2,7.11
117,26-05-2012,7.11.2,Registry interim data release. Released change request 2012.060.,7.11.3,7.11.1
118,01-06-2012,7.11.3,Registry interim data release. Released change request 2012.062.,7.11.4,7.11.2
119,19-07-2012,7.11.4,"Registry interim data release. Released change requests 2011.038, 2012.065 and 2012.066.",7.11.5,7.11.3
120,31-07-2012,7.11.5,"Registry interim data release. Released change requests 2011.106, 2012.064 and 2012.067.",7.12,7.11.4
121,10-08-2012,7.12,Version 7.12 release of full Dataset. Data content is same as v8.0 except for area polygons.,v8.0,7.11.5
122,17-08-2012,v8.0,Version 8.0 marks the upgrade of the online registry from GML version 3.2.0 to GML version 3.2.1 and of the addition of area polygons to the Dataset.,8.1,7.12
123,26-11-2012,8.1,Version 8.1 full release of Dataset.,8.1.1,v8.0
124,17-12-2012,8.1.1,Registry interim data release. Released change requests 2012.087 and 2012.094.,8.1.2,8.1
125,17-01-2013,8.1.2,Registry interim data release. Released change request 2012.095.,8.1.3,8.1.1
126,18-01-2013,8.1.3,Registry interim data release. Released change request 2013.003.,8.1.4,8.1.2
127,29-01-2013,8.1.4,"Registry interim data release. Released change requests 2012.096, 2013.002 and 2013.005.",8.2,8.1.3
128,25-04-2013,8.2,Version 8.2 full release of Dataset.,v8.2,8.1.4
129,26-04-2013,v8.2,Re-release to trigger export file creation.,8.2.0,8.2
130,29-04-2013,8.2.0,Version 8.2 full release of Dataset. This is a re-release to correct issue with polygon for area 4059.,8.2.1,v8.2
131,30-05-2013,8.2.1,"Registry interim data release. Released change requests 2011.096, 2013.019 and 2013.026.",8.2.2,8.2.0
132,12-06-2013,8.2.2,"Registry interim data release. Released change requests 2012.052, 2012.075, 2013.020, 2013.022 and 2013.024.",8.2.3,8.2.1
133,15-06-2013,8.2.3,Registry interim data release. Released change requests 2012.097 and 2013.030.,8.2.4,8.2.2
134,21-07-2013,8.2.4,"Registry interim data release. Released change requests 2009.079, 2010.034, 2012.044, 2013.007, 2013.018, 2013.021 and 2013.034.",8.2.5,8.2.3
135,26-07-2013,8.2.5,Registry interim data release. Released change request 2013.037 and changed definition of UoM 1025 and 1033 from being a derived unit to being a conventional unit because Access model cannot handle derived units.,8.2.6,8.2.4
136,23-08-2013,8.2.6,"Registry interim data release. Released change requests 2012.086, 2013.032, 2013.033, 2013.043 and 2013.045.",8.2.7,8.2.5
137,02-09-2013,8.2.7,"Registry interim data release. Released change requests 2013.028, 2013.039, 2013.042, 2013.047, 2013.049 and 2013.050.",8.2.8,8.2.6
138,10-09-2013,8.2.8,Registry interim data release. Released change requests 2013.048 and 2013.052.,8.2.9,8.2.7
139,05-11-2013,8.2.9,"Registry interim data release. Released change requests 2013.023, 2013.040, 2013.055 and 2013.056.",8.2.10,8.2.8
140,05-11-2013,8.2.10,Registry interim data release. Released change request 2013.044.,8.3,8.2.9
141,29-11-2013,8.3,Version 8.3 full release of Dataset.,8.3.1,8.2.10
142,13-12-2013,8.3.1,"Registry interim data release. Released change requests 2013.060, 2013.062 and 2013.067.",8.3.2,8.3
143,23-12-2013,8.3.2,"Registry interim data release. Released change requests 2013.061, 2013.065, 2013.069, 2013.070 and 2013.071.",8.3.3,8.3.1
144,27-01-2014,8.3.3,"Registry interim data release. Released change requests 2013.064, 2014.001, 2014.002 and 2014.003.",8.3.4,8.3.2
145,15-02-2014,8.3.4,Registry interim data release. Released change requests 2014.005 and 2014.006.,8.4,8.3.3
146,01-05-2014,8.4,Version 8.4 full release of Dataset.,8.4.1,8.3.4
147,20-05-2014,8.4.1,Registry interim data release. Released change requests 2014.032 and 2014.034.,8.5,8.4
148,27-06-2014,8.5,Version 8.5 full release of Dataset.,8.5.1,8.4.1
149,28-07-2014,8.5.1,"Registry interim data release. Released change requests 2014.026, 2014.031, 2014.033, 2014.036, 2014.043, 2014.044, 2014.045, 2014.046 and 2014.047. Registry software upgraded from v2.4.7 to 2.4.9 to include WKT export capability. ",8.5.2,8.5
150,08-09-2014,8.5.2,"Registry interim data release. Released change requests 2013.054, 2014.037, 2014.049, 2014.050, 2014.051 and 2014.052. ",8.5.3,8.5.1
151,09-09-2014,8.5.3,Registry interim data release. Released change request 2014.056.,8.5.4,8.5.2
152,18-09-2014,8.5.4,"Registry interim data release. Released change requests 2014.061, 2014.062, 2014.064 and 2014.065. Registry software v2.4.11 installed.",8.5.5,8.5.3
153,14-10-2014,8.5.5,Registry interim data release. Released change requests 2014.072 and 2014.074.,8.5.6,8.5.4
154,19-11-2014,8.5.6,"Registry interim data release. Released change requests 2014.058, 2014.076 and 2014.082. Pre-release to v8.6 to facilitate change request 2014.083.",8.6,8.5.5
155,21-11-2014,8.6,Version 8.6 full release of Dataset.,8.6.1,8.5.6
156,04-01-2015,8.6.1,"Registry interim data release. Released change requests 2014.088, 2014.089, 2014.092, 2014.093 and 2014.094.",8.6.2,8.6
157,28-01-2015,8.6.2,"Registry interim data release. Released change requests 2014.095, 2015.002 and 2015.003.",8.6.3,8.6.1
158,12-02-2015,8.6.3,"Registry interim data release. Released change requests 2012.056, 2014.068, 2014.070, 2015.005, 2015.006 and 2015.007.",8.6.4,8.6.2
159,01-03-2015,8.6.4,Registry interim release. Registry software v2.5.2 installed - includes enhanced reports (change request 2013.025).,8.6.5,8.6.3
160,06-03-2015,8.6.5,Registry interim release. Released change request 2015.014.,8.7,8.6.4
161,22-04-2015,8.7,Version 8.7 full release of Dataset.,8.7.1,8.6.5
162,22-05-2015,8.7.1,"Registry interim release. Released change requests 2015.018, 205.027, 2015.028 and 2015.030.",8.7.2,8.7
163,23-05-2015,8.7.2,Registry interim release. Released change request 2015.033.,8.7.3,8.7.1
164,24-06-2015,8.7.3,"Registry interim release. Released change requests 2014.085, 2015.020, 2015.031 and 2015.037.",8.7.4,8.7.2
165,24-06-2015,8.7.4,Registry interim release. Released change request 2015.036.,8.7.5,8.7.3
166,21-09-2015,8.7.5,"Registry interim release. Released change requests 2015.029, 2015.035, 2015.040 and 2015.044.",8.8,8.7.4
167,25-11-2015,8.8,Version 8.8 full release of Dataset.,8.8.1,8.7.5
168,30-12-2015,8.8.1,"Registry interim release. Released change requests 2015.045, 2015.057, 2015.061, 2015.064, 2015.066, 2015.067 and 2015.070.",8.9,8.8
169,15-02-2016,8.9,Version 8.8 full release of Dataset.,,8.8.1
